//New HSK (2013)/Level 1
爱[愛]	ài
使劲儿[使勁兒]	shǐjìnr
始终[始終]	shǐzhōng
士兵[士兵]	shìbīng
市场[市場]	shìchǎng
似的[似的]	shìde
事实[事實]	shìshí
事物[事物]	shìwù
事先[事先]	shìxiān
试卷[試卷]	shìjuàn
收获[收獲]	shōuhuò
收据[收據]	shōujù
手工[手工]	shǒugōng
手术[手術]	shǒushù
手套[手套]	shǒutào
手续[手續]	shǒuxù
手指[手指]	shǒuzhǐ
首[首]	shǒu
寿命[壽命]	shòumìng
受伤[受傷]	shòu shāng
书架[書架]	shūjià
梳子[梳子]	shūzi
舒适[舒適]	shūshì
输入[輸入]	shūrù
蔬菜[蔬菜]	shūcài
熟练[熟練]	shúliàn
属于[屬于]	shǔyú
鼠标[鼠標]	shǔ biāo
数[數]	shù, shǔ
数据[數據]	shùjù
数码[數碼]	shùmǎ
摔倒[摔倒]	shuāidǎo
甩[甩]	shuǎi
双方[雙方]	shuāngfāng
税[稅]	shuì
说不定[說不定]	shuōbudìng
说服[說服]	shuō fú
丝绸[絲綢]	sīchóu
丝毫[絲毫]	sīháo
私人[私人]	sīrén
思考[思考]	sīkǎo
思想[思想]	sīxiǎng
撕[撕]	sī
似乎[似乎]	sìhū
搜索[搜索]	sōusuǒ
宿舍[宿舍]	sùshè
随身[隨身]	suíshēn
随时[隨時]	suíshí
随手[隨手]	suíshǒu
碎[碎]	suì
损失[損失]	sǔnshī
缩短[縮短]	suōduǎn
所[所]	suǒ
锁[鎖]	suǒ
台阶[台階]	táijiē
太极拳[太極拳]	tàijíquán
太太[太太]	tàitai
谈判[談判]	tánpàn
坦率[坦率]	tǎnshuài
烫[燙]	tàng
逃[逃]	táo
逃避[逃避]	táobì
桃[桃]	táo
淘气[淘氣]	táoqì
讨价还价[討價還價]	tǎo jià huán jià
套[套]	tào
特色[特色]	tèsè
特殊[特殊]	tèshū
特征[特征]	tèzhēng
疼爱[疼愛]	téng ài
提倡[提倡]	tíchàng
提纲[提綱]	tígāng
提问[提問]	tíwèn
题目[題目]	tímù
体会[體會]	tǐhuì
体贴[體貼]	tǐtiē
体现[體現]	tǐxiàn
体验[體驗]	tǐyàn
天空[天空]	tiānkōng
天真[天真]	tiānzhēn
调皮[調皮]	tiáopí
调整[調整]	tiáozhěng
挑战[挑戰]	tiǎozhàn
通常[通常]	tōngcháng
统一[統一]	tǒngyī
痛苦[痛苦]	tòngkǔ
痛快[痛快]	tòngkuai
偷[偷]	tōu
投入[投入]	tóurù
投资[投資]	tóu zī
透明[透明]	tòumíng
突出[突出]	tūchū
土地[土地]	tǔdì
土豆[土豆]	tǔdòu
吐[吐]	tǔ, tù
兔子[兔子]	tùzi
团[團]	tuán
推辞[推辭]	tuīcí
推广[推廣]	tuīguǎng
推荐[推薦]	tuījiàn
退[退]	tuì
退步[退步]	tuìbù
退休[退休]	tuìxiū
歪[歪]	wāi
外公[外公]	wàigōng
外交[外交]	wàijiāo
完美[完美]	wánměi
完善[完善]	wánshàn
完整[完整]	wánzhěng
玩具[玩具]	wánjù
万一[萬一]	wànyī
王子[王子]	wángzǐ
网络[網絡]	wǎngluò
往返[往返]	wǎngfǎn
危害[危害]	wēihài
威胁[威脅]	wēixié
微笑[微笑]	wēixiào
违反[違反]	wéifǎn
围巾[圍巾]	wéijīn
围绕[圍繞]	wéirào
唯一[唯一]	wéiyī
维修[維修]	wéixiū
伟大[偉大]	wěidà
尾巴[尾巴]	wěiba
委屈[委屈]	wěiqu
未必[未必]	wèibì
未来[未來]	wèilái
位于[位于]	wèiyú
位置[位置]	wèizhi
胃[胃]	wèi
胃口[胃口]	wèikǒu
温暖[溫暖]	wēnnuǎn
温柔[溫柔]	wēnróu
文件[文件]	wénjiàn
文具[文具]	wénjù
文明[文明]	wénmíng
文学[文學]	wénxué
文字[文字]	wénzì
闻[聞]	wén
吻[吻]	wěn
稳定[穩定]	wěndìng
问候[問候]	wènhòu
卧室[臥室]	wòshì
握手[握手]	wò shǒu
屋子[屋子]	wūzi
无奈[無奈]	wúnài
无数[無數]	wúshù
无所谓[無所謂]	wúsuǒwèi
武术[武術]	wǔshù
勿[勿]	wù
物理[物理]	wùlǐ
物质[物質]	wùzhì
雾[霧]	wù
吸取[吸取]	xīqǔ
吸收[吸收]	xīshōu
戏剧[戲劇]	xìjù
系[系]	xì, jì
系统[系統]	xìtǒng
细节[細節]	xìjié
瞎[瞎]	xiā
下载[下載]	xiàzǎi
吓[嚇]	xià
夏令营[夏令營]	xiàlìngyíng
鲜艳[鮮豔]	xiānyàn
显得[顯得]	xiǎnde
显然[顯然]	xiǎnrán
显示[顯示]	xiǎnshì
县[縣]	xiàn
现代[現代]	xiàndài
现实[現實]	xiànshí
现象[現象]	xiànxiàng
限制[限制]	xiànzhì
相处[相處]	xiāngchǔ
相当[相當]	xiāngdāng
相对[相對]	xiāngduì
相关[相關]	xiāngguān
相似[相似]	xiāngsì
香肠[香腸]	xiāngcháng
享受[享受]	xiǎngshòu
想念[想念]	xiǎngniàn
想象[想象]	xiǎngxiàng
项[項]	xiàng
项链[項鏈]	xiàngliàn
项目[項目]	xiàngmù
象棋[象棋]	xiàngqí
象征[象征]	xiàngzhēng
消费[消費]	xiāofèi
消化[消化]	xiāohuà
消极[消極]	xiāojí
消失[消失]	xiāoshī
销售[銷售]	xiāoshòu
小麦[小麥]	xiǎomài
小气[小氣]	xiǎoqì
孝顺[孝順]	xiàoshùn
效率[效率]	xiàolǜ
歇[歇]	xiē
斜[斜]	xié
写作[寫作]	xiězuò
血[血]	xuè
心理[心理]	xīnlǐ
心脏[心髒]	xīnzàng
欣赏[欣賞]	xīnshǎng
信号[信號]	xìnhào
信任[信任]	xìnrèn
行动[行動]	xíngdòng
行人[行人]	xíngrén
行为[行爲]	xíngwéi
形成[形成]	xíngchéng
形容[形容]	xíngróng
形式[形式]	xíngshì
形势[形勢]	xíngshì
形象[形象]	xíngxiàng
形状[形狀]	xíngzhuàng
幸亏[幸虧]	xìngkuī
幸运[幸運]	xìngyùn
性质[性質]	xìngzhì
兄弟[兄弟]	xiōngdì
胸[胸]	xiōng
休闲[休閑]	xiūxián
修改[修改]	xiūgǎi
虚心[虛心]	xūxīn
叙述[敘述]	xùshù
宣布[宣布]	xuānbù
宣传[宣傳]	xuānchuán
学历[學曆]	xuélì
学术[學術]	xuéshù
学问[學問]	xuéwen
寻找[尋找]	xúnzhǎo
询问[詢問]	xúnwèn
训练[訓練]	xùnliàn
迅速[迅速]	xùnsù
押金[押金]	yājīn
牙齿[牙齒]	yáchǐ
延长[延長]	yáncháng
严肃[嚴肅]	yánsù
演讲[演講]	yǎnjiǎng
宴会[宴會]	yànhuì
阳台[陽台]	yángtái
痒[癢]	yǎng
样式[樣式]	yàngshì
腰[腰]	yāo
摇[搖]	yáo
咬[咬]	yǎo
要不[要不]	yàobù
业务[業務]	yèwù
业余[業余]	yèyú
夜[夜]	yè
一辈子[一輩子]	yíbèizi
一旦[一旦]	yídàn
一律[一律]	yílǜ
一再[一再]	yízài
一致[一致]	yízhì
依然[依然]	yīrán
移动[移動]	yídòng
移民[移民]	yímín
遗憾[遺憾]	yíhàn
疑问[疑問]	yíwèn
乙[乙]	yǐ
以及[以及]	yǐjí
以来[以來]	yǐlái
亿[億]	yì
义务[義務]	yìwù
议论[議論]	yìlùn
意外[意外]	yìwài
意义[意義]	yìyì
因而[因而]	yīn'ér
因素[因素]	yīnsù
银[銀]	yín
印刷[印刷]	yìnshuā
英俊[英俊]	yīngjùn
英雄[英雄]	yīngxióng
迎接[迎接]	yíngjiē
营养[營養]	yíngyǎng
营业[營業]	yíngyè
影子[影子]	yǐngzi
应付[應付]	yìngfu
应用[應用]	yìngyòng
硬[硬]	yìng
硬件[硬件]	yìngjiàn
拥抱[擁抱]	yōngbào
拥挤[擁擠]	yōngjǐ
勇气[勇氣]	yǒngqì
用功[用功]	yòng gōng
用途[用途]	yòngtú
优惠[優惠]	yōuhuì
优美[優美]	yōuměi
优势[優勢]	yōushì
悠久[悠久]	yōujiǔ
犹豫[猶豫]	yóuyù
油炸[油炸]	yóuzhá
游览[遊覽]	yóulǎn
有利[有利]	yǒulì
幼儿园[幼兒園]	yòu'éryuán
娱乐[娛樂]	yúlè
与其[與其]	yǔqí
语气[語氣]	yǔqì
玉米[玉米]	yùmǐ
预报[預報]	yùbào
预订[預訂]	yùdìng
预防[預防]	yùfáng
元旦[元旦]	yuándàn
员工[員工]	yuángōng
原料[原料]	yuánliào
原则[原則]	yuánzé
圆[圓]	yuán
愿望[願望]	yuànwàng
乐器[樂器]	yuèqì
晕[暈]	yūn
运气[運氣]	yùnqi
运输[運輸]	yùnshū
运用[運用]	yùnyòng
灾害[災害]	zāihài
再三[再三]	zàisān
在乎[在乎]	zàihu
在于[在于]	zàiyú
赞成[贊成]	zànchéng
赞美[贊美]	zànměi
糟糕[糟糕]	zāogāo
造成[造成]	zàochéng
则[則]	zé
责备[責備]	zébèi
摘[摘]	zhāi
窄[窄]	zhǎi
粘贴[粘貼]	zhāntiē
展开[展開]	zhǎn kāi
展览[展覽]	zhǎnlǎn
占[占]	zhàn
战争[戰爭]	zhànzhēng
长辈[長輩]	zhǎngbèi
涨[漲]	zhǎng, zhàng
掌握[掌握]	zhǎngwò
账户[賬戶]	zhànghù
招待[招待]	zhāodài
着火[著火]	zháohuǒ
着凉[著涼]	zháo liáng
召开[召開]	zhàokāi
照常[照常]	zhàocháng
哲学[哲學]	zhéxué
针对[針對]	zhēnduì
珍惜[珍惜]	zhēnxī
真实[真實]	zhēnshí
诊断[診斷]	zhěnduàn
阵[陣]	zhèn
振动[振動]	zhèndòng
争论[爭論]	zhēnglùn
争取[爭取]	zhēngqǔ
征求[征求]	zhēngqiú
睁[睜]	zhēng
整个[整個]	zhěnggè
整齐[整齊]	zhěngqí
整体[整體]	zhěngtǐ
正[正]	zhèng
证件[證件]	zhèngjiàn
证据[證據]	zhèngjù
政府[政府]	zhèngfǔ
政治[政治]	zhèngzhì
挣[掙]	zhèng, zhēng
支[支]	zhī
支票[支票]	zhīpiào
执照[執照]	zhízhào
直[直]	zhí
指导[指導]	zhǐdǎo
指挥[指揮]	zhǐhuī
至今[至今]	zhì jīn
至于[至于]	zhìyú
志愿者[志願者]	zhìyuànzhě
制定[制定]	zhìdìng
制度[制度]	zhìdù
制造[制造]	zhìzào
制作[制作]	zhìzuò
治疗[治療]	zhìliáo
秩序[秩序]	zhìxù
智慧[智慧]	zhìhuì
中介[中介]	zhōngjiè
中心[中心]	zhōngxīn
中旬[中旬]	zhōngxún
种类[種類]	zhǒnglèi
重大[重大]	zhòngdà
重量[重量]	zhòngliàng
周到[周到]	zhōudào
猪[豬]	zhū
竹子[竹子]	zhúzi
逐步[逐步]	zhúbù
逐渐[逐漸]	zhújiàn
主持[主持]	zhǔchí
主动[主動]	zhǔdòng
主观[主觀]	zhǔguān
主人[主人]	zhǔrén
主任[主任]	zhǔrèn
主题[主題]	zhǔtí
主席[主席]	zhǔxí
主张[主張]	zhǔzhāng
煮[煮]	zhǔ
注册[注冊]	zhùcè
祝福[祝福]	zhùfú
抓[抓]	zhuā
抓紧[抓緊]	zhuā jǐn
专家[專家]	zhuānjiā
专心[專心]	zhuānxīn
转变[轉變]	zhuǎnbiàn
转告[轉告]	zhuǎngào
装[裝]	zhuāng
装饰[裝飾]	zhuāngshì
装修[裝修]	zhuāngxiū
状况[狀況]	zhuàngkuàng
状态[狀態]	zhuàngtài
撞[撞]	zhuàng
追[追]	zhuī
追求[追求]	zhuīqiú
咨询[咨詢]	zīxún
姿势[姿勢]	zīshì
资格[資格]	zīgé
资金[資金]	zījīn
资料[資料]	zīliào
资源[資源]	zīyuán
紫[紫]	zǐ
自从[自從]	zìcóng
自动[自動]	zìdòng
自豪[自豪]	zìháo
自觉[自覺]	zìjué
自私[自私]	zìsī
自由[自由]	zìyóu
自愿[自願]	zìyuàn
字母[字母]	zìmǔ
字幕[字幕]	zìmù
综合[綜合]	zōnghé
总裁[總裁]	zǒngcái
总共[總共]	zǒnggòng
总理[總理]	zǒnglǐ
总算[總算]	zǒngsuàn
总统[總統]	zǒngtǒng
总之[總之]	zǒngzhī
阻止[阻止]	zǔzhǐ
组[組]	zǔ
组成[組成]	zǔchéng
组合[組合]	zǔhé
组织[組織]	zǔzhī
最初[最初]	zuìchū
醉[醉]	zuì
尊敬[尊敬]	zūnjìng
遵守[遵守]	zūnshǒu
作品[作品]	zuòpǐn
作为[作爲]	zuòwéi
作文[作文]	zuò wén

//New HSK (2013)/Level 6
挨[挨]	āi
癌症[癌症]	áizhèng
爱不释手[愛不釋手]	àibúshìshǒu
爱戴[愛戴]	àidài
暧昧[暧昧]	àimèi
安宁[安甯]	ānníng
安详[安詳]	ānxiáng
安置[安置]	ānzhì
按摩[按摩]	ànmó
案件[案件]	ànjiàn
案例[案例]	ànlì
暗示[暗示]	ànshì
昂贵[昂貴]	ángguì
凹凸[凹凸]	āotū
熬[熬]	áo
奥秘[奧秘]	àomì
巴不得[巴不得]	bābùdé
巴结[巴結]	bājie
扒[扒]	bā
疤[疤]	bā
拔苗助长[拔苗助長]	bámiáozhùzhǎng
把关[把關]	bǎ guān
把手[把手]	bǎshou
罢工[罷工]	bà gōng
霸道[霸道]	bàdào
掰[掰]	bāi
摆脱[擺脫]	bǎituō
败坏[敗壞]	bàihuài
拜访[拜訪]	bàifǎng
拜年[拜年]	bài nián
拜托[拜托]	bàituō
颁布[頒布]	bānbù
颁发[頒發]	bānfā
斑[斑]	bān
版本[版本]	bǎnběn
半途而废[半途而廢]	bàn tú ér fèi
扮演[扮演]	bànyǎn
伴侣[伴侶]	bànlǚ
伴随[伴隨]	bànsuí
绑架[綁架]	bǎngjià
榜样[榜樣]	bǎngyàng
磅[磅]	bàng
包庇[包庇]	bāobì
包袱[包袱]	bāofu
包围[包圍]	bāowéi
包装[包裝]	bāozhuāng
饱和[飽和]	bǎohé
饱经沧桑[飽經滄桑]	bǎojīngcāngsāng
保管[保管]	bǎoguǎn
保密[保密]	bǎo mì
保姆[保姆]	bǎomǔ
保守[保守]	bǎoshǒu
保卫[保衛]	bǎowèi
保养[保養]	bǎoyǎng
保障[保障]	bǎozhàng
保重[保重]	bǎozhòng
报仇[報仇]	bàochóu
报酬[報酬]	bàochou
报答[報答]	bàodá
报复[報複]	bàofu
报警[報警]	bàojǐng
报销[報銷]	bàoxiāo
抱负[抱負]	bàofù
暴力[暴力]	bàolì
暴露[暴露]	bàolù
曝光[曝光]	bàoguāng
爆发[爆發]	bàofā
爆炸[爆炸]	bàozhà
卑鄙[卑鄙]	bēibǐ
悲哀[悲哀]	bēi'āi
悲惨[悲慘]	bēicǎn
北极[北極]	běijí
贝壳[貝殼]	bèiké
备份[備份]	bèifèn
备忘录[備忘錄]	bèiwànglù
背叛[背叛]	bèipàn
背诵[背誦]	bèisòng
被动[被動]	bèidòng
被告[被告]	bèigào
奔波[奔波]	bēnbō
奔驰[奔馳]	bēnchí
本能[本能]	běnnéng
本钱[本錢]	běnqián
本人[本人]	běnrén
本身[本身]	běnshēn
本事[本事]	běnshi
笨拙[笨拙]	bènzhuō
崩溃[崩潰]	bēngkuì
甭[甭]	béng
迸发[迸發]	bèngfā
蹦[蹦]	bèng
逼迫[逼迫]	bīpò
鼻涕[鼻涕]	bítì
比方[比方]	bǐfang
比喻[比喻]	bǐyù
比重[比重]	bǐzhòng
鄙视[鄙視]	bǐshì
闭塞[閉塞]	bìsè
弊病[弊病]	bìbìng
弊端[弊端]	bìduān
臂[臂]	bì
边疆[邊疆]	biānjiāng
边界[邊界]	biānjiè
边境[邊境]	biānjìng
边缘[邊緣]	biānyuán
编织[編織]	biānzhī
鞭策[鞭策]	biāncè
贬低[貶低]	biǎndī
贬义[貶義]	biǎnyì
扁[扁]	biǎn
变故[變故]	biàngù
变迁[變遷]	biànqiān
变质[變質]	biàn zhì
便利[便利]	biànlì
便条[便條]	biàntiáo
便于[便于]	biànyú
遍布[遍布]	biànbù
辨认[辨認]	biànrèn
辩护[辯護]	biànhù
辩解[辯解]	biànjiě
辩证[辯證]	biànzhèng
辫子[辮子]	biànzi
标本[標本]	biāoběn
标记[標記]	biāojì
标题[標題]	biāotí
表决[表決]	biǎojué
表态[表態]	biǎotài
表彰[表彰]	biǎozhāng
憋[憋]	biē
别墅[別墅]	biéshù
别致[別致]	biézhì
别扭[別扭]	bièniu
濒临[瀕臨]	bīnlín
冰雹[冰雹]	bīngbáo
丙[丙]	bǐng
并非[並非]	bìngfēi
并列[並列]	bìngliè
拨[撥]	bō
波浪[波浪]	bōlàng
波涛[波濤]	bōtāo
剥削[剝削]	bōxuē
播种[播種]	bōzhǒng
伯母[伯母]	bómǔ
博大精深[博大精深]	bódàjīngshēn
博览会[博覽會]	bólǎnhuì
搏斗[搏鬥]	bódòu
薄弱[薄弱]	bóruò
补偿[補償]	bǔcháng
补救[補救]	bǔjiù
补贴[補貼]	bǔtiē
捕捉[捕捉]	bǔzhuō
哺乳[哺乳]	bǔrǔ
不得已[不得已]	bùdéyǐ
不妨[不妨]	bùfáng
不敢当[不敢當]	bù gǎndāng
不顾[不顧]	búgù
不禁[不禁]	bùjīn
不堪[不堪]	bùkān
不可思议[不可思議]	bùkěsīyì
不愧[不愧]	búkuì
不料[不料]	búliào
不免[不免]	bùmiǎn
不时[不時]	bùshí
不惜[不惜]	bùxī
不相上下[不相上下]	bù xiāng shàng xià
不像话[不像話]	búxiànghuà
不屑一顾[不屑一顧]	búxièyígù
不言而喻[不言而喻]	bùyán'éryù
不由得[不由得]	bùyóude
不择手段[不擇手段]	bùzéshǒuduàn
不止[不止]	bùzhǐ
布告[布告]	bùgào
布局[布局]	bùjú
布置[布置]	bùzhì
步伐[步伐]	bùfá
部署[部署]	bùshǔ
部位[部位]	bùwèi
才干[才幹]	cáigàn
财富[財富]	cáifù
财务[財務]	cáiwù
财政[財政]	cáizhèng
裁缝[裁縫]	cáifeng
裁判[裁判]	cáipàn
裁员[裁員]	cáiyuán
采购[采購]	cǎigòu
采集[采集]	cǎijí
采纳[采納]	cǎinà
彩票[彩票]	cǎipiào
参谋[參謀]	cānmóu
参照[參照]	cānzhào
残疾[殘疾]	cánji
残酷[殘酷]	cánkù
残留[殘留]	cánliú
残忍[殘忍]	cánrěn
灿烂[燦爛]	cànlàn
仓促[倉促]	cāngcù
仓库[倉庫]	cāngkù
苍白[蒼白]	cāngbái
舱[艙]	cāng
操劳[操勞]	cāoláo
操练[操練]	cāoliàn
操纵[操縱]	cāozòng
操作[操作]	cāozuò
嘈杂[嘈雜]	cáozá
草案[草案]	cǎo'àn
草率[草率]	cǎoshuài
侧面[側面]	cèmiàn
测量[測量]	cèliáng
策划[策劃]	cèhuà
策略[策略]	cèlüè
层出不穷[層出不窮]	céng chū bù qióng
层次[層次]	céngcì
差别[差別]	chābié
插座[插座]	chāzuò
查获[查獲]	cháhuò
岔[岔]	chà
刹那[刹那]	chànà
诧异[詫異]	chàyì
柴油[柴油]	cháiyóu
搀[攙]	chān
馋[饞]	chán
缠绕[纏繞]	chánrào
产业[産業]	chǎnyè
阐述[闡述]	chǎnshù
颤抖[顫抖]	chàndǒu
昌盛[昌盛]	chāngshèng
尝试[嘗試]	chángshì
偿还[償還]	chánghuán
场合[場合]	chǎnghé
场面[場面]	chǎngmiàn
场所[場所]	chǎngsuǒ
敞开[敞開]	chǎngkāi
畅通[暢通]	chàngtōng
畅销[暢銷]	chàngxiāo
倡导[倡導]	chàngdǎo
倡议[倡議]	chàngyì
钞票[鈔票]	chāopiào
超越[超越]	chāoyuè
巢穴[巢穴]	cháoxué
朝代[朝代]	cháodài
嘲笑[嘲笑]	cháoxiào
潮流[潮流]	cháoliú
撤退[撤退]	chètuì
撤销[撤銷]	chèxiāo
沉淀[沈澱]	chéndiàn
沉闷[沈悶]	chénmèn
沉思[沈思]	chénsī
沉重[沈重]	chénzhòng
沉着[沈著]	chénzhuó
陈旧[陳舊]	chénjiù
陈列[陳列]	chénliè
陈述[陳述]	chénshù
衬托[襯托]	chèntuō
称心如意[稱心如意]	chènxīnrúyì
称号[稱號]	chēnghào
成本[成本]	chéngběn
成交[成交]	chéngjiāo
成天[成天]	chéngtiān
成效[成效]	chéngxiào
成心[成心]	chéngxīn
成员[成員]	chéngyuán
呈现[呈現]	chéngxiàn
诚挚[誠摯]	chéngzhì
承办[承辦]	chéngbàn
承包[承包]	chéngbāo
承诺[承諾]	chéngnuò
城堡[城堡]	chéngbǎo
乘[乘]	chéng
盛[盛]	chéng, shèng
惩罚[懲罰]	chéngfá
澄清[澄清]	chéngqīng
橙[橙]	chéng
秤[秤]	chèng
吃苦[吃苦]	chī kǔ
吃力[吃力]	chīlì
迟钝[遲鈍]	chídùn
迟缓[遲緩]	chíhuǎn
迟疑[遲疑]	chíyí
持久[持久]	chíjiǔ
赤道[赤道]	chìdào
赤字[赤字]	chìzì
冲动[沖動]	chōngdòng
冲击[沖擊]	chōngjī
冲突[沖突]	chōngtū
充当[充當]	chōngdāng
充沛[充沛]	chōngpèi
充实[充實]	chōngshí
充足[充足]	chōngzú
重叠[重疊]	chóngdié
崇拜[崇拜]	chóngbài
崇高[崇高]	chónggāo
崇敬[崇敬]	chóngjìng
稠密[稠密]	chóumì
筹备[籌備]	chóubèi
丑恶[醜惡]	chǒu'è
出路[出路]	chūlù
出卖[出賣]	chūmài
出身[出身]	chūshēn
出神[出神]	chū shén
出息[出息]	chūxi
初步[初步]	chūbù
除[除]	chú
处分[處分]	chǔfèn
处境[處境]	chǔjìng
处置[處置]	chǔzhì
储备[儲備]	chǔbèi
储存[儲存]	chǔcún
储蓄[儲蓄]	chǔxù
触犯[觸犯]	chùfàn
川流不息[川流不息]	chuān liú bù xī
穿越[穿越]	chuānyuè
传达[傳達]	chuándá
传单[傳單]	chuándān
传授[傳授]	chuánshòu
船舶[船舶]	chuánbó
喘气[喘氣]	chuǎnqì
串[串]	chuàn
床单[床單]	chuángdān
创立[創立]	chuànglì
创新[創新]	chuàngxīn
创业[創業]	chuàngyè
创作[創作]	chuàngzuò
吹牛[吹牛]	chuī niú
吹捧[吹捧]	chuīpěng
炊烟[炊煙]	chuīyān
垂直[垂直]	chuízhí
锤[錘]	chuí
纯粹[純粹]	chúncuì
纯洁[純潔]	chúnjié
慈善[慈善]	císhàn
慈祥[慈祥]	cíxiáng
磁带[磁帶]	cídài
雌雄[雌雄]	cíxióng
次品[次品]	cìpǐn
次序[次序]	cìxù
伺候[伺候]	cìhou
刺[刺]	cì
从容[從容]	cóngróng
丛[叢]	cóng
凑合[湊合]	còuhe
粗鲁[粗魯]	cūlǔ
窜[竄]	cuàn
摧残[摧殘]	cuīcán
脆弱[脆弱]	cuìruò
搓[搓]	cuō
磋商[磋商]	cuōshāng
挫折[挫折]	cuòzhé
搭[搭]	dā
搭档[搭檔]	dādàng
搭配[搭配]	dāpèi
达成[達成]	dá chéng
答辩[答辯]	dábiàn
答复[答複]	dáfù
打包[打包]	dǎbāo
打官司[打官司]	dǎ guānsi
打击[打擊]	dǎjī
打架[打架]	dǎ jià
打量[打量]	dǎliang
打猎[打獵]	dǎ liè
打仗[打仗]	dǎzhàng
大不了[大不了]	dàbuliǎo
大臣[大臣]	dàchén
大伙儿[大夥兒]	dàhuǒr
大肆[大肆]	dàsì
大体[大體]	dàtǐ
大意[大意]	dàyì
大致[大致]	dàzhì
歹徒[歹徒]	dǎitú
代价[代價]	dàijià
代理[代理]	dàilǐ
带领[帶領]	dàilǐng
怠慢[怠慢]	dàimàn
逮捕[逮捕]	dàibǔ
担保[擔保]	dānbǎo
胆怯[膽怯]	dǎnqiè
诞辰[誕辰]	dànchén
诞生[誕生]	dànshēng
淡季[淡季]	dànjì
淡水[淡水]	dànshuǐ
蛋白质[蛋白質]	dànbáizhì
当场[當場]	dāngchǎng
当初[當初]	dāngchū
当代[當代]	dāngdài
当面[當面]	dāng miàn
当前[當前]	dāngqián
当事人[當事人]	dāngshìrén
当务之急[當務之急]	dāngwùzhījí
当选[當選]	dāngxuǎn
党[黨]	dǎng
档案[檔案]	dàng'àn
档次[檔次]	dàngcì
导弹[導彈]	dǎodàn
导航[導航]	dǎoháng
导向[導向]	dǎoxiàng
捣乱[搗亂]	dǎo luàn
倒闭[倒閉]	dǎobì
盗窃[盜竊]	dàoqiè
稻谷[稻谷]	dàogǔ
得不偿失[得不償失]	dé bù cháng shī
得力[得力]	délì
得天独厚[得天獨厚]	détiāndúhòu
得罪[得罪]	dézuì
灯笼[燈籠]	dēnglong
登陆[登陸]	dēnglù
登录[登錄]	dēnglù
蹬[蹬]	dēng
等候[等候]	děnghòu
等级[等級]	děngjí
瞪[瞪]	dèng
堤坝[堤壩]	dībà
敌视[敵視]	díshì
抵达[抵達]	dǐdá
抵抗[抵抗]	dǐkàng
抵制[抵制]	dǐzhì
地步[地步]	dìbù
地势[地勢]	dìshì
地质[地質]	dìzhì
递增[遞增]	dìzēng
颠簸[顛簸]	diānbǒ
颠倒[顛倒]	diāndǎo
典礼[典禮]	diǎnlǐ
典型[典型]	diǎnxíng
点缀[點綴]	diǎnzhuì
电源[電源]	diànyuán
垫[墊]	diàn
惦记[惦記]	diànjì
奠定[奠定]	diàndìng
叼[叼]	diāo
雕刻[雕刻]	diāokè
雕塑[雕塑]	diāosù
吊[吊]	diào
调动[調動]	diàodòng
跌[跌]	diē
丁[丁]	dīng
叮嘱[叮囑]	dīngzhǔ
盯[盯]	dīng
定期[定期]	dìngqī
定义[定義]	dìngyì
丢人[丟人]	diū rén
丢三落四[丟三落四]	diūsān làsì
东道主[東道主]	dōngdàozhǔ
东张西望[東張西望]	dōngzhāngxīwàng
董事长[董事長]	dǒngshìzhǎng
动荡[動蕩]	dòngdàng
动机[動機]	dòngjī
动静[動靜]	dòngjìng
动力[動力]	dònglì
动脉[動脈]	dòngmài
动身[動身]	dòng shēn
动手[動手]	dòngshǒu
动态[動態]	dòngtài
动员[動員]	dòngyuán
冻结[凍結]	dòngjié
栋[棟]	dòng
兜[兜]	dōu
陡峭[陡峭]	dǒuqiào
斗争[鬥爭]	dòuzhēng
督促[督促]	dūcù
毒品[毒品]	dúpǐn
独裁[獨裁]	dúcái
堵塞[堵塞]	dǔsè
赌博[賭博]	dǔbó
杜绝[杜絕]	dùjué
端[端]	duān
端午节[端午節]	Duānwǔ Jié
端正[端正]	duānzhèng
短促[短促]	duǎncù
断定[斷定]	duàndìng
断绝[斷絕]	duànjué
堆积[堆積]	duījī
队伍[隊伍]	duìwu
对策[對策]	duìcè
对称[對稱]	duìchèn
对付[對付]	duìfu
对抗[對抗]	duìkàng
对立[對立]	duìlì
对联[對聯]	duìlián
对应[對應]	duìyìng
对照[對照]	duìzhào
兑现[兌現]	duìxiàn
顿时[頓時]	dùnshí
多元化[多元化]	duōyuánhuà
哆嗦[哆嗦]	duōsuo
堕落[墮落]	duòluò
额外[額外]	éwài
恶心[惡心]	ěxin
恶化[惡化]	èhuà
遏制[遏制]	èzhì
恩怨[恩怨]	ēnyuàn
而已[而已]	éryǐ
二氧化碳[二氧化碳]	èryǎnghuàtàn
发布[發布]	fābù
发财[發財]	fā cái
发呆[發呆]	fādāi
发动[發動]	fādòng
发觉[發覺]	fājué
发射[發射]	fāshè
发誓[發誓]	fāshì
发行[發行]	fāxíng
发炎[發炎]	fāyán
发扬[發揚]	fāyáng
发育[發育]	fāyù
法人[法人]	fǎrén
番[番]	fān
凡是[凡是]	fánshì
繁华[繁華]	fánhuá
繁忙[繁忙]	fánmáng
繁体字[繁體字]	fántǐzì
繁殖[繁殖]	fánzhí
反驳[反駁]	fǎnbó
反常[反常]	fǎncháng
反感[反感]	fǎngǎn
反抗[反抗]	fǎnkàng
