//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
Mike是很棒的老师。	Mike shì hěn bàngde lǎoshī.	Mike is a great teacher.
他是学生。	tā shì xuéshēng.	He is a student.
他很懒惰。	tā hěn lǎnduò.	He is lazy.
他是很懒惰的学生。	tā shì hěn lǎnduòde xuéshēng.	He is a lazy student.
这是博物馆	zhè shì bówùguǎn.	This is a museum.
博物馆很有趣。	bówùguǎn hěn yǒuqù.	The museum is very interesting.
这是很有趣的博物馆。	zhè shì hěn yǒuqùde bówùguǎn.	This is a very interesting museum.
那是公园。	nà shì gōngyuán.	That is a park.
公园很大。	gōngyuán hěn dà.	The park is big.
那是很大的公园。	nà shì hěn dàde gōngyuán.	That is a big park.
北京市城市。	běijīng shì chéngshì.	Beijing is a city.
北京很有名。	běijīng hěn yǒumíng.	Beijing is famous.
北京市很有名的城市。	běijīng shì hěn yǒumíngde chéngshì.	Beijing is a famous city.
他是咖啡。	nà shì kāfēi.	That is coffee.
咖啡很烫。	kāfēi hěn tàng.	The coffee is very hot.
那是很烫的咖啡。	nà shì hěn tàngde kāfēi.	That is hot coffee.
她是很漂亮的女人吗？	tā shì hěn piàoliàngde nǚrén ma?	Is she a beautiful woman?
是。她是很漂亮的女人。	shì. Tā shì hěn piàoliàngde nǚrén.	Yes, she is. She is a beautiful woman.
你的哥哥是很聪明的人吗？	nǐde gēge shì hěn cōngmíngde rén ma?	Is your older brother a smart person?
不是。我的哥哥是很笨的人。	bú shì. Wǒde gēge shì hěn bènde rén.	No, he isn’t. My older brother is a stupid person.
这是很甜得橙子吗？	zhè shì hěn tiánde chéngzi ma?	Is this a sweet orange?
是。这是很甜的橙子。	shì. Zhè shì hěn tiánde chéngzi.	Yes, it is. This is a sweet orange.
那是很有趣的书吗？	nà shì hěn yǒuqùde shū ma?	Is that an interesting book?
是。那是很有趣的书。	shì. Nà shì hěn yǒuqùde shū.	Yes, it is. That is an interesting book.
她是谁？	tā shì shéi?	Who is she?
她是很好的老师。	tā shì hěn hǎode lǎoshī.	She is a good teacher.
你是谁？	nǐ shì shéi?	Who are you?
我是很可爱的小孩。	wǒ shì hěn kě'àide xiǎohái.	I am a cute child.

//Chinese With Mike/Season 1/Ch 34: Why and Because
他很聪明。为什么？因为他是老师。	tā hěn cōngmíng. wèishénme? yīnwèi tā shì lǎoshī.	He is intelligent. Why? Because he is a teacher.
我的阿姨在中国。为什么？因为她是中国人。	wǒde āyí zài zhōngguó. wèishénme? yīnwèi tā shì zhōngguórén.	My aunt is in China. Why? Because she is Chinese (a Chinese person.)
我很生气。为什么？因为我的小孩很顽皮。	wǒ hěn shēngqì. wèishénme? yīnwèi wǒde xiǎohái hěn wánpí.	I am angry. Why? Because my child(ren) are naughty.
今天你好吗？今天我不好。为什么？因为天气很冷。	jīntiān nǐ hǎo ma? jīntiān wǒ bù hǎo. Wèishénme? Yīnwèi tiānqì hěn lěng.	How are you today? I am not well today. Why? Because the weather is cold.
你的狗在你的家吗？不是。为什么？因为它在我的朋友的家。	nǐde gǒu zài nǐde jiā ma? Bú shì. wèishénme? Yīnwèi tā zài wǒde péngyǒude jiā.	Is your dog at your house? No, it is not. Why? Because it is at my friend’s house.
她在学校。为什么？因为她是学生。	tā zài xuéxiào. wèishénme? yīnwèi tā shì xuéshēng.	She is at school. Why? Because she is a student.
他很有钱。为什么？因为他是律师。	tā hěn yǒuqián. wèishénme? yīnwèi tā shì lǜshī.	He is rich. Why? Because he is a lawyer.
我的房子很小。为什么？因为我很穷。	wǒde fángzi hěn xiǎo. wèishénme? yīnwèi wǒ hěn qióng.	My house is small. Why? Because I am poor.
我的房子很贵。为什么？因为我很有钱。	wǒde fángzi hěn guì. wèishénme? yīnwèi wǒ hěn yǒuqián.	My house is expensive. Why? Because I am rich.
她在医院。为什么？因为她是护士。	tā zài yīyuàn. wèishénme? yīnwèi tā shì hùshì.	She is at the hospital. Why? Because she is a nurse.

//Chinese With Mike/Season 1/Ch 35: The Return to Mike’s Garage and Body Parts
我的头很大。	wǒde tóu hěn dà.	My head is big.
你的手臂很长。	nǐde shǒubì hěn cháng.	Your arms are long.
他的脚很小。	tāde jiǎo hěn xiǎo.	His feet are small.
我们的妈妈很矮，也很老。	wǒmende māma hěn ǎi, yě hěn lǎo.	Our mom is short and old.
你的爸爸手很脏。	nǐde bàbade shǒu hěn zāng.	Your dad’s hands are dirty.
我的姐姐的头发很短。	wǒde jiějiede tóufǎ hěn duǎn.	My older sister’s hair is short.
你的男朋友的头发很长吗？	nǐde nánpéngyǒude tóufǎ hěn cháng ma?	Is your boyfriend’s hair long?
不是。他的头发很短。	bú shì. Tāde tóufǎ hěn duǎn.	No, it is not. His hair is short.
Mike老师的腿很长吗？	Mike Lǎoshīde tuǐ hěn cháng ma?	Are Teacher Mike’s legs long?
是。他的腿很长。	shì. Tāde tuǐ hěn cháng.	Yes, they are. His legs are long.
为什么你的爸爸的腿很长？	wèishénme nǐde bàbade tuǐ hěn cháng?	Why are your dad’s legs long?
因为他很高。	yīnwèi tā hěn gāo.	Because he is tall.
我的牙齿很痛。	wǒde yáchǐ hěn tòng.	My tooth hurts.
你的肚子很痛吗？	nǐde dùzi hěn tòng ma?	Does your stomach hurt?
是。我的肚子很痛。	shì. Wǒde dùzi hěn tòng.	Yes, it does. My stomach hurts.
你的眼睛在哪里？	nǐde yǎnjīng zài nǎ lǐ?	Where are your eyes?
我的眼睛在这里。	wǒde yǎnjīng zài zhè lǐ.	My eyes are here.
你的女儿的身体好吗？	nǐde nǚ'érde shēntǐ hǎo ma?	Is your daughter in good health/healthy?
是。我的女儿的身体很好。谢谢。	shì. Wǒde nǚ'érde shēntǐ hěn hǎo. Xièxie.	Yes, she is. My daughter is in good health/healthy.
你的手很干净吗？	nǐde shǒu hěn gānjìng ma?	Are your hands clean?
不是。我的手很脏。	bú shì. Wǒde shǒu hěn zāng.	No, they are not. My hands are dirty.

//Chinese With Mike/Season 1/Ch 36: Colors
那是什么颜色？	nà shì shénmè yánsè?	What color is that?
那是灰色。	nà shì huīsè.	That is grey.
这是什么颜色？	zhè shì shénme yánsè?	What color is this?
这是紫色。	zhè shì zǐsè.	This is purple.
这是红色的车子。	zhè shì hóngsède chēzi.	This is a red car.
这是蓝色的车子吗？	zhè shì lánsède chēzi ma?	Is this a blue car?
不是。这不是蓝色的车子。	bú shì. Zhè bú shì lánsède chēzi.	No, it is not. This is not a blue car.
那是黄色的房子。	nà shì huángsède fángzi.	That is a yellow house.
那是黑色的鞋子吗？	nà shì hēisède xiézi ma?	Is that a black shoe?
是。那是黑色的鞋子。	shì. Nà shì hēisède xiézi.	Yes, it is. That is a black shoe.
那些是黑色的鞋子吗？	nàxiē shì hēisède xiézi ma?	Are those black shoes?
不是。那些不是黑色的鞋子。	bú shì. Nàxiē bú shì hēisède xiézi.	No, they are not. Those are not black shoes.
那是黑色的电视。	nà shì hēisède diànshì.	That is a black TV.
这是粉红色的电话。	zhè shì fēnhóngsède diànhuà.	This is a pink telephone.
那是黄色的铅笔。	nà shì huángsède qiānbǐ.	That is a yellow pencil.
你的蓝色的车子在哪里？	nǐde lánsède chēzi zài nǎ lǐ?	Where is your blue car?
我的蓝色的车子在这里。	wǒde lánsède chēzi zài zhè lǐ.	My blue car is here.
我的爸爸的绿色的球在哪里？	wǒde bàbade lǜsède qiú zài nǎ lǐ?	Where is my dad’s green ball?
他的绿色的球在厨房。	tāde lǜsède qiú zài chúfáng.	His green ball is in the kitchen.
这是谁的绿色的苹果？	zhè shì shéide lǜsède píngguǒ?	Whose green apple is this?
这是我的绿色的苹果。	zhè shì wǒde lǜsède píngguǒ.	This is my green apple.

//Chinese With Mike/Season 1/Ch 37: So
我不舒服。为什么？因为我的家很冷。	wǒ bù shūfú. Wèishénme? Yīnwèi wǒde jiā hěn lěng.	I am uncomfortable. Why? Because my house is cold.
他很有钱。为什么？因为他是商人。	tā hěn yǒuqián. Wèishénme? Yīnwèi tā shì shāngrén.	He is rich. Why? Because he is a businessman.
我很难过。为什么？因为我的太太不在这里。	wǒ hěn nánguò. Wèishénme? Yīnwèi wǒde tàitai bú zài zhè lǐ.	I am sad. Why? Because my wife is not here.
他们的妈妈很生气。为什么？因为他们很顽皮。	tāmende māma hěn shēngqì. Wèishénme? Yīnwèi tāmen hěn wánpí.	Their mom is angry. Why? Because they are very naughty.
因为你是医生，所以你很聪明。	yīnwèi nǐ shì yīshēng, suǒyǐ nǐ hěn cōngmíng.	Because you are a doctor, you are very intelligent.
因为我很穷，所以我的房子很小。	yīnwèi wǒ hěn qióng, suǒyǐ wǒde fángzi hěn xiǎo.	Because I am poor, my house is small.
因为天气很热，所以农民很辛苦。	yīnwèi tiānqì hěn rè, suǒyǐ nóngmín hěn xīnkǔ.	Because the weather is hot, the farmer is very hard-working/tired.
因为你的老公很不好，所以你很伤心。	yīnwèi nǐde lǎogōng hěn bù hǎo, suǒyǐ nǐ hěn shāngxīn.	Because your husband is very bad, you are very sad.
因为她是军人，所以她很壮。	yīnwèi tā shì jūnrén, suǒyǐ tā hěn zhuàng.	Because she is a soldier, she is strong.
你的爸爸是警察吗？是。他是警察。	nǐde bàba shì jǐngchá ma? Shì. Tā shì jǐngchá.	Is your dad a police officer? Yes, he is. He is a police officer.
你的老婆的妈妈是秘书吗？不是。他是老师。	nǐde lǎopóde māma shì mìshū ma? Bú shì. Tā shì lǎoshī.	Is your wife’s mom a secretary? No, she is not. She is a teacher.
因为今天是我的生日，所以我很高兴。	yīnwèi jīntiān shì wǒde shēngrì, suǒyǐ wǒ hěn gāoxìng.	Because today is my birthday, I am very happy.
因为明天是我的女儿的生日，所以她很兴奋。	yīnwèi míngtiān shì wǒde nǚ'érde shēngrì, suǒyǐ tā hěn xīngfèn.	Because tomorrow is my daughter’s birthday, she is very excited.

//Chinese With Mike/Season 1/Ch 38: Review of So and But
因为现在是夏天，所以天气很热。	yīnwèi xiànzài shì xiàtiān, suǒyǐ tiānqì hěn rè.	Because it is summer, the weather is hot.
因为现在是冬天，所以天气很冷。	yīnwèi xiànzài shì dōngtiān, suǒyǐ tiānqì hěn lěng.	Because it is winter, the weather is cold.
因为我的牙齿很痛，所以我不舒服。	yīnwèi wǒde yáchǐ hěn tòng, suǒyǐ wǒ bù shūfú.	Because my teeth hurt, I am uncomfortable.
因为我的老婆很丑，所以我很难过。	yīnwèi wǒde lǎopó hěn chǒu, suǒyǐ wǒ hěn nánguò.	Because my wife is ugly, I am sad.
因为我的老婆很漂亮，所以我很高兴。	yīnwèi wǒde lǎopó hěn piàoliàng, suǒyǐ wǒ hěn gāoxìng.	Because my wife is beautiful, I am happy.
因为我的儿子很乖，所以我很高兴。	yīnwèi wǒde érzi hěn guāi, suǒyǐ wǒ hěn gāoxìng.	Because my son is well-behaved, I am happy.
我很高但是我的父母不高。	wǒ hěn gāo dànshì wǒde fùmǔ bù gāo.	I am tall, but my parents are not tall.
你很帅但是你的女朋友很丑。	nǐ hěn shuài dànshì nǐde nǚpéngyǒu hěn chǒu.	You are handsome, but your girlfriend is ugly.
我的儿子很乖但是我的女儿很顽皮。	wǒde érzi hěn guāi dànshì wǒde nǚ'ér hěn wánpí.	My son is well-behaved, but my daughter is naughty.
医生很有钱但是她很忙。	yīshēng hěn yǒuqián dànshì tā hěn máng.	The doctor is rich, but she is busy.
我的狗很小但是他很壮。	wǒde gǒu hěn xiǎo dànshì tā hěn zhuàng.	My dog is very small, but it is strong.
我的老师很好但是他很严格。	wǒde lǎoshī hěn hǎo dànshì tā hěn yángé.	My teacher is very good, but he is strict.
现在是冬天吗？是。现在是冬天。	xiànzài shì dōngtiān ma? Shì. Xiànzài shì dōngtiān.	Is it winter now? Yes, it is. It is winter.
现在是夏天吗？不是。现在是秋天。	xiànzài shì xiàtiān ma? Bú shì. Xiànzài shì qiūtiān.	Is it summer now? No, it is not. It is fall.
你的儿子是消防员吗？是。他是消防员。	nǐde érzi shì xiāofángyuán ma? Shì. Tā shì xiāofángyuán.	Is your son a firefighter? Yes, he is. He is a firefighter.
他三岁但是他很聪明。	tā sān suì dànshì tā hěn cōngmíng.	He is three years old, but he is very smart.

//Chinese With Mike/Season 1/Ch 39: Another Way to Ask Questions
你是Mike老师吗？	nǐ shì Mike Lǎoshī ma?	Are you Teacher Mike?
你是不是Mike老师？	nǐ shì bú shì Mike Lǎoshī?	Are you or are you not Teacher Mike?
他是你的爸爸吗？	tā shì nǐde bàba ma?	Is he your dad?
他是不是你的爸爸？	tā shì bú shì nǐde bàba?	Is he or is he not your dad?
他们是台湾人吗？	tāmen shì táiwānrén ma?	Are they Taiwanese?
他们是不是台湾人？	tāmen shì bú shì táiwānrén?	Are they or are they not Taiwanese?
你是不是中国人？	nǐ shì bú shì zhōngguórén?	Are you Chinese?
是。我是中国人。你呢？你是不是中国人？	shì. wǒ shì zhōngguórén. nǐ ne? nǐ shì bú shì zhōngguórén?	Yes. I am Chinese. And you? Are you Chinese?
不是。我不是中国人。我是法国人。	bú shì. Wǒ bú shì zhōngguórén. wǒ shì fǎguórén.	No, I am not. I am not Chinese. I am French.
她是不是律师？	tā shì bú shì lǜshī?	Is she a lawyer?
是。她是律师。因为她是律师所以她很有钱。	shì. tā shì lǜshī. yīnwèi tā shì lǜshī suǒyǐ tā hěn yǒuqián.	Yes, she is a lawyer. Because she is a lawyer, she is rich.
你的男朋友是不是教书？	nǐde nánpéngyǒu shì bú shì jiàoshòu?	Is your boyfriend a professor?
是。他是教授。	shì. tā shì jiàoshòu	Yes, he is. He is a professor.
他的大学在哪里？	tāde dàxué zài nǎ lǐ?	Where is his university?
他的大学在美国。	tāde dàxué zài měiguó.	His university is in America.
他们是不是医生？	tāmen shì bú shì yīshēng?	Are they doctors?
不是。他们是护士。现在他们在医院。	bú shì. tāmen shì hùshì. xiànzài tāmen zài yīyuàn.	No, they aren’t. They are nurses. They are at the hospital now.
你们是不是学生？	nǐmen shì bú shì xuéshēng?	Are you students?
是。我们是学生。	shì. wǒmen shì xuéshēng.	Yes, we are. We are students.
今天是不是你的生日？	jīntiān shì bú shì nǐde shēngrì?	Is today your birthday?
不是。明天是我的生日。我十三岁。	bú shì. míngtiān shì wǒde shēngrì. Wǒ shísān suì.	No, it isn’t. Tomorrow is my birthday. I’m 13 years old.
你的名字是不是王建明？	nǐde míngzi shì bú shì Wáng Jiàn Míng?	Is your name Jian Ming Wang? *family names come first in Chinese
不是。我的名字是Mike老师。	bú shì. wǒde míngzi shì Mike lǎoshī.	No, it is not. My name is Teacher Mike.
他是不是你的朋友？	tā shì bú shì nǐde péngyǒu?	Is he your friend?
是。他是我的朋友。他很聪明。	shì. tā shì wǒde péngyǒu. tā hěn cōngmíng.	Yes, he is. He is my friend. He is smart.

//Chinese With Mike/Season 1/Ch 40: Goodbye... for now
你高不高？	nǐ gāo bù gāo?	Are you tall?
他壮不壮？	tā zhuàng bú zhuàng?	Is he strong?
你好不好？	nǐ hǎo bù hǎo?	Are you well/good/fine/okay?
你的先生胖不胖？	nǐde xiānshēng pàng bú pàng?	Is your husband fat?
你的儿子乖不乖？	nǐde érzi guāi bù guāi?	Is your son well-behaved?
他们的房子大不大？	tāmende fángzi dà bú dà?	Is their house big?
你们的狗饿不饿？	nǐmende gǒu è bú è?	Is you guys' dog hungry?
你的车子贵不贵？	nǐde chēzi guì bú guì?	Is your car expensive?
老师的太太瘦不瘦？	lǎoshīde tàitai shòu bú shòu?	Is the teacher’s wife thin?
你的朋友的猫丑不丑？	nǐde péngyǒude māo chǒu bù chǒu?	Is your friend’s cat ugly?
你高不高兴？	nǐ gāo bù gāoxìng?	Are you happy?
她漂不漂亮？	tā piào bú piàoliàng?	Is she pretty/beautiful?
你的老师聪不聪明？	nǐde lǎoshī cōng bù cōngmíng?	Is your teacher smart/intelligent?
他们的电视便不便宜？	tāmende diànshì pián bù piányí?	Is their television cheap/inexpensive?
你难不难过？	nǐ nán bù nánguò?	Are you sad?
Michael Jordan有不有名？	Michael Jordan yǒu bù yǒu míng?	Is Michael Jordan famous?

//Chinese With Mike/Season 2/Ch 41: Yao
你要什么？	nǐ yào shénme?	What do you want?
我要茶	wǒ yào chá	I want tea
他要什么？	tā yào shénme?	What does he want?
他要可乐	tā yào kělè	He wants Cola
你要不要咖啡？	nǐ yào bú yào kāfēi?	Do you want Coffee? (alternate 1)
你要咖啡吗？	nǐ yào kāfēi ma?	Do you want Coffee? (alternate 2)
要。我要咖啡。	yào. wǒ yào kāfēi.	Yes. I want coffee.
不要。我不要咖啡。	búyào. wǒ búyào kāfēi.	No. I don't want coffee.
你要咖啡还是啤酒？	nǐ yào kāfēi háishì píjiǔ?	Do you want coffee or beer?
我的朋友要可乐还是果汁	wǒde péngyǒu yào kělè háishì guǒzhī?	Does our friend want cola or fruit juice?

//Chinese With Mike/Season 2/Ch 42: Eat and Drink
我要吃炒饭	wǒ yào chī chǎo fàn	I want to eat fried rice
你要吃面	nǐ yào chī miàn	You want to eat fried noodles
他要喝汤	tā yào hē tāng	He wants to drink soup
我们要吃猪肉	wǒmen yào chī zhū ròu	We want to eat pork
你们要喝茶	nǐmen yào hē chá	You guys want to drink tea
他们要吃豆腐	tāmen yào chī dòufu	They want to eat tofu
我的女朋友要吃鸡肉	wǒde nǚ péngyǒu yào chī jī ròu	My girlfriend wants to eat chicken
我的妹妹要吃牛肉炒饭	wǒde mèimei yào chī niúròu chǎo fàn	My younger sister wants to eat been fried rice
你要不要喝可乐？	nǐ yào búyào hē kělè?	Do you want to drink Cola?
你的哥哥要吃鸡肉吗？	nǐ dí gēgē yào chī jī ròu ma?	Does your older brother want to eat chicken? 
他们的老师要喝牛奶吗？	tāmen de lǎoshī yào hē niúnǎi ma?	Does their teacher want to drink milk? 
我们的爸爸要吃饭	wǒmen de bà ba yào chīfàn	Our father wants to eat (a meal). 
我的姐姐的男朋友要喝茶	wǒde jiejie de nán péngyǒu yào hē chá	My older sister's boyfriend wants to drink tea
你们要不要吃面？	nǐmen yào búyào chī miàn? 	Do you guys want to eat noodles?
我的妈妈要喝汤	wǒde māmā yào hē tāng	My mother wants to drink soup.

//Chinese With Mike/Season 2/Ch 43: Kan
你要看电视吗？	nǐ yào kàn diànshì ma?	Do you want to watch TV? (alternate 1)
你要不要看电视？	nǐ yào búyào kàn diànshì?	Do you want to watch TV? (alternate 2)
要。我要看电视。	yào. wǒ yào kàn diànshì.	Yes. I want to watch TV.
不要。我不要看电视。	búyào. wǒ búyào kàn diànshì. 	No. I don't want to watch TV.
你的弟弟要看电影吗？	nǐde dìdì yào kàn diànyǐng ma?	Does your younger brother want to watch a movie? (alternate 1)
你的弟弟要不要看电影？	nǐde dìdì yào búyào kàn diànyǐng?	Does your younger brother want to watch a movie? (alternate 2)
这是女人	zhè shì nǚrén	This is a woman.
她要看书码？	tā yào kàn shū mǎ?	Does she want to read a book?
不要。她不要看书。	búyào. tā búyào kàn shū.	No. She doesn't want to read a book.
他要不要看杂志？	tā yào búyào kàn zázhì?	Does he want to read a magazine?
要。他要看杂志。	yào. tā yào kàn zázhì.	Yes. He wants to read a magazine.
你要看DVD吗？	nǐ yào kàn DVD ma?	Do you want to watch a DVD?
不要。我不要看DVD.	búyào. wǒ búyào kàn DVD.	No. I don't want to watch a DVD.
你的太太要不要看报纸？	nǐde tàitài yào búyào kàn bàozhǐ? 	Does your wife want to read a newspaper?
要。我的太太要看报纸。	yào. wǒde tàitài yào kàn bàozhǐ.	Yes. My wife wants to read a newspaper.
今天我很高兴	jīntiān wǒ hěn gāoxìng	Today I am very happy	

//Chinese With Mike/Season 2/Ch 44: Shuo/Jiang
你会说中文吗？	nǐ huì shuō Zhōngwén ma?	Do you speak Chinese? (alternate 1)
你会不会说中文？	nǐ huì bú huì shuō Zhōngwén?	Do you speak Chinese? (alternate 2)
会。我会说中文。	huì. wǒ huì shuō Zhōngwén. 	Yes. I speak Chinese.
不会。我不会说中文。	bú huì. wǒ bú huì shuō Zhōngwén.	No. I don't speak Chinese.
你的先生会讲英文吗？	nǐde xiānshēng huì jiǎng Yīngwén ma? 	Does your husband speak English? (alternate 1)
你的先生会不会讲英文？	nǐde xiānshēng huì bú huì jiǎng Yīngwén?	Does your husband speak English? (alternate 2) 
会。他会讲英文。	huì. tā huì jiǎng Yīngwén. 	Yes. He speaks English.
不会。他不会讲英文。	bú huì. tā bú huì jiǎng Yīngwén.	No. He doesn't speak English.	
我不会讲日文	wǒ bú huì jiǎng Rì wén	I don't speak Japanese.
你会不会说英文？	nǐ huì bú huì shuō Yīngwén?	Do you speak English?
他会讲中文吗？	tā huì jiǎng Zhōngwén ma?	Does he speak Chinese?
我们不会说中文。	wǒmen bú huì shuō Zhōngwén.	We don't speak Chinese.
你们会讲英文。	nǐmen huì jiǎng Yīngwén.	You guys speak English.
他们会不会说中文？	tāmen huì bú huì shuō Zhōngwén? 	Do they speak Chinese?
Mike老师会不会说英文？	Mike lǎoshī huì bú huì shuō Yīngwén? 	Does Teacher Mike speak English?
Mike老师是美国人。	Mike lǎoshī shì Měiguórén.	Teacher Mike is American.
中国人会说中文吗？	Zhōngguó rén huì shuō Zhōngwén ma? 	Do Chinese people speak Chinese?

//Chinese With Mike/Season 2/Ch 45: What Can You Do?
我会弹钢琴	wǒ huì dàn gāngqín	I can play the piano
我会弹吉他	wǒ huì dàn jítā	I can play the guitar
你会唱（歌）吗？	nǐ huì chàng (gē) ma?	Can you sing?
他会不会跳舞？	tā huì bú huì tiàowǔ?	Can he dance?
你的太太会煮饭吗？	nǐde tàitài huì zhǔ fàn ma?	Can your wife cook? 
我的老师会写中文字	wǒde lǎoshī huì xiě Zhōngwén zì	My Teacher can write Chinese characters.
他们会有游泳吗？	tāmen huì yǒu yóuyǒng ma?	Can they swim?
我的女儿不会开车	wǒde nǚ'ér bú huì kāichē	My daughter cannot drive
我的儿子也不会开车	wǒde érzi yě bú huì kāichē	My son cannot drive either. 
你是不是律师？	nǐ shì búshì lǜshī?	Are you a lawyer? (alternate 1)
你是律师吗？	nǐ shì lǜshī ma?	Are you a lawyer? (alternate 2)
是/不是	shì/búshì	Yes/No (Am/Am not) 
她要不要吃炒饭？	tā yào búyào chī chǎo fàn?	Does she want to eat fried rice? (alternate 1)
她要吃炒饭吗？	tā yào chī chǎo fàn ma?	Does she want to eat fried rice? (alternate 2)
要/不要	yào/búyào	Yes/No (Want/Don't Want) 
他们会不会说中文？	tāmen huì bú huì shuō zhōngwén?	Can they speak Chinese? (alternate 1) 
他们会说中文吗？	tāmen huì shuō zhōngwén ma?	Can they speak Chinese? (alternate 2)
会/不会	huì/bú huì	Yes/No (Can/Can't)

//Chinese With Mike/Season 2/Ch 46: More Yao, More Hui
你要听音乐吗？	nǐ yào tīng yīnyuè ma?	Do you want to listen to music?
要。我要听音乐	yào. wǒ yào tīng yīnyuè	Yes. I want to listen to music.
她会用筷子吗？	tā huì yòng kuàizi ma?	Can she use chopsticks?
不会。她不会用筷子	bú huì. tā bú huì yòng kuàizi	No. She can't use chopsticks.
你的弟弟会不会骑摩托车？	nǐde dìdì huì bú huì qí mótuō chē?	Can your brother ride a motorcyle?
会。他会骑摩托车	huì. tā huì qí mótuō chē	Yes. He can ride a motorcycle.
你的刀子在哪里？	nǐde dāozi zài nàlǐ?	Where is your knife?
我的刀子在厨房	wǒde dāozi zài chúfáng	My knife is in the kitchen.
我要吃面	wǒ yào chī miàn	I want to eat noodles
你要筷子吗？	nǐ yào kuàizi ma?	Do you want chopsticks?
要。我要筷子	yào. wǒ yào kuàizi	Yes. I want chopsticks.
入境随俗	rù jìng suí sú	When in Rome, do as the Romans do (lit. enter border follow custom)
你的太太要不要骑马？	nǐde tàitài yào bùyào qímǎ?	Does your wife want to ride a horse?
不要。她不要骑马	bùyào. tā bùyào qí mǎ	No. She doesn't want to ride a horse.
为什么？因为他不会骑马	wèishénme? yīnwèi tā bú huì qí mǎ	Because she can't ride a horse.
你的朋友要听中文歌吗？	nǐde péngyǒu yào tīng Zhōngwén gē ma?	Does your friend want to listen to Chinese music?
不要。她要听英文歌	bùyào. Tā yào tīng Yīngwén gē	No. She want to listen to English music.

//Chinese With Mike/Season 2/Ch 47: Haochi ma?
好吃	hǎo chī	Tasty
好看	hǎo kàn	Good read/watch/see
好听	hǎo tīng	Good listen
好喝	hǎo hē	Good drink
很好吃	hěn hǎo chī	It is tasty
不好吃	bù hǎo chī	It is not tasty
你的书好看吗？	nǐde shū hǎokàn ma?	Is your book a good read?
我的书很好看	wǒde shū hěn hǎokàn	My book is a good read
你的报纸好看吗？	nǐde bàozhǐ hǎokàn ma?	Is your newspaper a good read?
电影好看吗	diànyǐng hǎokàn ma?	How was the movie?
好看/很好看/不好看	hǎokàn/hěn hǎokàn/bù hǎokàn	Good read/good read/not a good read
你的茶好喝吗？	nǐde chá hǎo hē ma?	How is your tea?
好喝/不好喝	hǎo hē/bù hǎo hē	Good drink/not a good drink
你的啤酒好喝吗？	nǐde píjiǔ hǎo hē ma?	How is your beer?
你的汤好喝吗？	nǐde tāng hǎo hē ma?	How is your soup?
你的饭好不好吃？	nǐde fàn hǎobù hǎo chī?	How is your meal?
我的饭很好吃	wǒde fàn hěn hǎo chī	My meal tastes good
我的饭不好吃	wǒde fàn bú hǎo chī	My meal doesn't taste good
你的鸡肉炒饭好不好吃？	nǐde jī ròu chǎo fàn hǎobù hǎo chī?	Is your chicken fried rice tasty?
你的臭豆腐好不好吃？	nǐde chòu dòufu hǎobù hǎo chī?	How is your stinky tofu?
音乐好不好听？	yīnyuè hǎobù hǎotīng?	How is the music?
音乐不好听. 	yīnyuè bù hǎotīng.	The music is not good

//Chinese With Mike/Season 2/Ch 48: To Like
我喜欢你	wó xǐhuan nǐ	I like you
你喜欢我吗	nó xǐhuan wǒ ma?	Do you like me?
喜欢/不喜欢	xǐhuan/bù xǐhuan	I like you/ don't like you
我爱你	wǒ ài nǐ	I love you
你爱我吗?	nǐ ài wǒ ma?	Do you love me?
我喜欢吃水果	wó xǐhuan chī shuǐguǒ	I like to eat fruits
我喜欢看书	wó xǐhuan kàn shū	I like to read books
我喜欢骑摩托车	wó xǐhuan qí mótuō chē	I like to ride motorcycles
我喜欢跳舞	wó xǐhuan tiàowǔ	I like to dance
Geoff喜欢听音乐	Geoff xǐhuan tīng yīnyuè	Geoff likes to listen to music
Geoff喜欢看电视	Geoff xǐhuan kàn diànshì	Geoff likes to watch TV
Geoff喜欢弹吉他	Geoff xǐhuan dàn jítā	Geoff likes to play guitar
Geoff喜欢喝咖啡	Geoff xǐhuan hē kāfēi	Geoff likes to drink coffee
Geoff喜欢听音乐吗？	Geoff xǐhuan tīng yīnyuè ma?	Does Geoff like to listen to music?
Geoff喜不喜欢听音乐?	Geoff xǐ bù xǐhuan tīng yīnyuè?	Does Geoff like to listen to music?

//Chinese With Mike/Season 2/Ch 49: Sports
你喜欢打篮球吗？	nǐ xǐhuan dǎ lánqiú ma?	Do you like to play basketball?
我喜欢打篮球	wǒ xǐhuan dǎ lánqiú	I like to play basketball
他喜不喜欢踢足球？	tā xǐ bù xǐhuan tī zúqiú?	Does he like to play soccer?
他喜欢踢足球	tā xǐhuan tī zúqiú	He likes to play football
老师喜欢打棒球吗？	lǎoshī xǐhuan dǎ bàngqiú ma?	Does the teacher like to play baseball?
老师不喜欢打棒球	lǎoshī bù xǐhuan dǎ bàngqiú 	The teacher doesn't like playing baseball.
我的爸爸的朋友不喜欢我 	wǒde bà ba de péngyǒu bù xǐhuan wǒ	My dad's friend doesn't like me
我也不喜欢他	wǒ yě bù xǐhuan tā	I don't like him either
为什么？他很小气	wèishéme? Tā hěn xiǎoqì	Why? He is stingy.
我爱我的妈妈	wǒ ài wǒde māmā	I love my mom.

